--2020-07-24 04:00:02--  ftp://bks-speedtest-1.tele2.net/100MB.zip
           => ‘/dev/null’
Resolving bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)... 90.130.74.113, 2a00:800:1010:9::2
Connecting to bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)|90.130.74.113|:21... connected.
Logging in as anonymous ... Logged in!
==> SYST ... done.    ==> PWD ... done.
  1950K .......... .......... .......... .......... ..........  1% 19.1M 20s
  2000K .......... .......... .......... .......... ..........  2% 25.7M 20s
  2050K .......... .......... .......... .......... ..........  2% 35.6M 19s
  2100K .......... .......... .......... .......... ..........  2% 30.7M 19s
  2150K .......... .......... .......... .......... ..........  2% 25.1M 19s
  2200K .......... .......... .......... .......... ..........  2% 24.4M 18s
  2250K .......... .......... .......... .......... ..........  2% 25.7M 18s
  2300K .......... .......... .......... .......... ..........  2% 31.7M 18s
  2350K .......... .......... .......... .......... ..........  2% 41.4M 17s
  2400K .......... .......... .......... .......... ..........  2% 24.2M 17s
  2450K .......... .......... .......... .......... ..........  2% 55.6M 17s
  2500K .......... .......... .......... .......... ..........  2% 26.0M 16s
  2550K .......... .......... .......... .......... ..........  2% 49.9M 16s
  2600K .......... .......... .......... .......... ..........  2% 26.9M 16s
  2650K .......... .......... .......... .......... ..........  2% 29.7M 16s
  2700K .......... .......... .......... .......... ..........  2% 41.5M 15s
  2750K .......... .......... .......... .......... ..........  2% 26.1M 15s
  2800K .......... .......... .......... .......... ..........  2% 62.9M 15s
  2850K .......... .......... .......... .......... ..........  2% 22.9M 15s
  2900K .......... .......... .......... .......... ..........  2% 27.5M 15s
  2950K .......... .......... .......... .......... ..........  2%  155M 14s
  3000K .......... .......... .......... .......... ..........  2% 42.5M 14s
  3050K .......... .......... .......... .......... ..........  3% 26.2M 14s
  3100K .......... .......... .......... .......... ..........  3% 48.8M 14s
  3150K .......... .......... .......... .......... ..........  3% 40.2M 14s
  3200K .......... .......... .......... .......... ..........  3% 33.4M 13s
  3250K .......... .......... .......... .......... ..........  3% 73.2M 13s
  3300K .......... .......... .......... .......... ..........  3% 16.3M 13s
  3350K .......... .......... .......... .......... ..........  3%  142M 13s
  3400K .......... .......... .......... .......... ..........  3% 38.2M 13s
  3450K .......... .......... .......... .......... ..........  3% 95.4M 13s
  3500K .......... .......... .......... .......... ..........  3% 38.5M 12s
  3550K .......... .......... .......... .......... ..........  3% 39.3M 12s
  3600K .......... .......... .......... .......... ..........  3% 41.0M 12s
  3650K .......... .......... .......... .......... ..........  3% 41.4M 12s
  3700K .......... .......... .......... .......... ..........  3%  142M 12s
  3750K .......... .......... .......... .......... ..........  3% 38.5M 12s
  3800K .......... .......... .......... .......... ..........  3% 37.9M 12s
  3850K .......... .......... .......... .......... ..........  3% 51.4M 11s
  3900K .......... .......... .......... .......... ..........  3%  111M 11s
  3950K .......... .......... .......... .......... ..........  3% 45.1M 11s
  4000K .......... .......... .......... .......... ..........  3% 45.2M 11s
  4050K .......... .......... .......... .......... ..........  4% 44.0M 11s
  4100K .......... .......... .......... .......... ..........  4%  150M 11s
  4150K .......... .......... .......... .......... ..........  4% 46.4M 11s
  4200K .......... .......... .......... .......... ..........  4% 36.8M 11s
  4250K .......... .......... .......... .......... ..........  4% 40.1M 10s
  4300K .......... .......... .......... .......... ..........  4% 47.8M 10s
  4350K .......... .......... .......... .......... ..........  4%  699M 10s
  4400K .......... .......... .......... .......... ..........  4% 44.5M 10s
  4450K .......... .......... .......... .......... ..........  4% 78.8M 10s
  4500K .......... .......... .......... .......... ..........  4% 26.2M 10s
  4550K .......... .......... .......... .......... ..........  4%  327M 10s
  4600K .......... .......... .......... .......... ..........  4% 85.9M 10s
  4650K .......... .......... .......... .......... ..........  4% 62.1M 10s
  4700K .......... .......... .......... .......... ..........  4% 50.4M 10s
  4750K .......... .......... .......... .......... ..........  4% 59.7M 10s
  4800K .......... .......... .......... .......... ..........  4%  158M 9s
  4850K .......... .......... .......... .......... ..........  4% 55.4M 9s
  4900K .......... .......... .......... .......... ..........  4% 25.7M 9s
  4950K .......... .......... .......... .......... ..........  4%  515M 9s
  5000K .......... .......... .......... .......... ..........  4% 68.8M 9s
  5050K .......... .......... .......... .......... ..........  4%  173M 9s
  5100K .......... .......... .......... .......... ..........  5% 67.2M 9s
  5150K .......... .......... .......... .......... ..........  5% 46.3M 9s
  5200K .......... .......... .......... .......... ..........  5% 90.9M 9s
  5250K .......... .......... .......... .......... ..........  5%  109M 9s
  5300K .......... .......... .......... .......... ..........  5% 48.2M 9s
  5350K .......... .......... .......... .......... ..........  5% 84.3M 9s
  5400K .......... .......... .......... .......... ..........  5% 45.0M 8s
  5450K .......... .......... .......... .......... ..........  5%  119M 8s
  5500K .......... .......... .......... .......... ..........  5% 68.7M 8s
  5550K .......... .......... .......... .......... ..........  5% 46.6M 8s
  5600K .......... .......... .......... .......... ..........  5%  491M 8s
  5650K .......... .......... .......... .......... ..........  5% 43.7M 8s
  5700K .......... .......... .......... .......... ..........  5% 34.9M 8s
  5750K .......... .......... .......... .......... ..........  5%  355M 8s
  5800K .......... .......... .......... .......... ..........  5%  119M 8s
  5850K .......... .......... .......... .......... ..........  5% 37.5M 8s
  5900K .......... .......... .......... .......... ..........  5%  197M 8s
  5950K .......... .......... .......... .......... ..........  5%  138M 8s
  6000K .......... .......... .......... .......... ..........  5% 4.83M 8s
  6050K .......... .......... .......... .......... ..........  5%  123M 8s
  6100K .......... .......... .......... .......... ..........  6% 90.7M 8s
  6150K .......... .......... .......... .......... ..........  6% 63.3M 8s
  6200K .......... .......... .......... .......... ..........  6% 76.9M 8s
  6250K .......... .......... .......... .......... ..........  6%  165M 8s
  6300K .......... .......... .......... .......... ..........  6%  110M 8s
  6350K .......... .......... .......... .......... ..........  6% 76.5M 7s
  6400K .......... .......... .......... .......... ..........  6%  128M 7s
  6450K .......... .......... .......... .......... ..........  6% 89.1M 7s
  6500K .......... .......... .......... .......... ..........  6% 70.4M 7s
  6550K .......... .......... .......... .......... ..........  6%  130M 7s
  6600K .......... .......... .......... .......... ..........  6%  109M 7s
  6650K .......... .......... .......... .......... ..........  6% 44.4M 7s
  6700K .......... .......... .......... .......... ..........  6% 50.3M 7s
  6750K .......... .......... .......... .......... ..........  6%  214M 7s
  6800K .......... .......... .......... .......... ..........  6% 22.7M 7s
  6850K .......... .......... .......... .......... ..........  6%  248M 7s
  6900K .......... .......... .......... .......... ..........  6%  111M 7s
  6950K .......... .......... .......... .......... ..........  6% 21.4M 7s
  7000K .......... .......... .......... .......... ..........  6%  445M 7s
  7050K .......... .......... .......... .......... ..........  6% 21.7M 7s
  7100K .......... .......... .......... .......... ..........  6%  262M 7s
  7150K .......... .......... .......... .......... ..........  7%  670M 7s
  7200K .......... .......... .......... .......... ..........  7% 23.5M 7s
  7250K .......... .......... .......... .......... ..........  7% 46.3M 7s
  7300K .......... .......... .......... .......... ..........  7%  126M 7s
  7350K .......... .......... .......... .......... ..........  7% 50.3M 7s
  7400K .......... .......... .......... .......... ..........  7%  122M 7s
  7450K .......... .......... .......... .......... ..........  7% 9.41M 7s
  7500K .......... .......... .......... .......... ..........  7%  137M 7s
  7550K .......... .......... .......... .......... ..........  7%  104M 7s
  7600K .......... .......... .......... .......... ..........  7% 97.7M 6s
  7650K .......... .......... .......... .......... ..........  7%  141M 6s
  7700K .......... .......... .......... .......... ..........  7%  108M 6s
  7750K .......... .......... .......... .......... ..........  7%  116M 6s
  7800K .......... .......... .......... .......... ..........  7%  111M 6s
  7850K .......... .......... .......... .......... ..........  7%  112M 6s
  7900K .......... .......... .......... .......... ..........  7% 99.1M 6s
  7950K .......... .......... .......... .......... ..........  7%  104M 6s
  8000K .......... .......... .......... .......... ..........  7%  136M 6s
  8050K .......... .......... .......... .......... ..........  7% 97.0M 6s
  8100K .......... .......... .......... .......... ..........  7%  134M 6s
  8150K .......... .......... .......... .......... ..........  8% 85.0M 6s
  8200K .......... .......... .......... .......... ..........  8%  117M 6s
  8250K .......... .......... .......... .......... ..........  8% 99.9M 6s
  8300K .......... .......... .......... .......... ..........  8% 33.0M 6s
  8350K .......... .......... .......... .......... ..........  8%  497M 6s
  8400K .......... .......... .......... .......... ..........  8% 29.9M 6s
  8450K .......... .......... .......... .......... ..........  8%  604M 6s
  8500K .......... .......... .......... .......... ..........  8% 27.8M 6s
  8550K .......... .......... .......... .......... ..........  8%  524M 6s
  8600K .......... .......... .......... .......... ..........  8% 92.0M 6s
  8650K .......... .......... .......... .......... ..........  8%  174M 6s
  8700K .......... .......... .......... .......... ..........  8% 28.2M 6s
  8750K .......... .......... .......... .......... ..........  8%  294M 6s
  8800K .......... .......... .......... .......... ..........  8%  118M 6s
  8850K .......... .......... .......... .......... ..........  8% 3.65M 6s
  8900K .......... .......... .......... .......... ..........  8%  195M 6s
  8950K .......... .......... .......... .......... ..........  8%  125M 6s
  9000K .......... .......... .......... .......... ..........  8%  113M 6s
  9050K .......... .......... .......... .......... ..........  8%  117M 6s
  9100K .......... .......... .......... .......... ..........  8%  122M 6s
  9150K .......... .......... .......... .......... ..........  8% 95.4M 6s
  9200K .......... .......... .......... .......... ..........  9%  125M 6s
  9250K .......... .......... .......... .......... ..........  9%  103M 6s
  9300K .......... .......... .......... .......... ..........  9%  125M 6s
  9350K .......... .......... .......... .......... ..........  9%  101M 5s
  9400K .......... .......... .......... .......... ..........  9%  107M 5s
  9450K .......... .......... .......... .......... ..........  9%  139M 5s
  9500K .......... .......... .......... .......... ..........  9%  100M 5s
  9550K .......... .......... .......... .......... ..........  9%  121M 5s
  9600K .......... .......... .......... .......... ..........  9%  119M 5s
  9650K .......... .......... .......... .......... ..........  9%  101M 5s
  9700K .......... .......... .......... .......... ..........  9%  116M 5s
  9750K .......... .......... .......... .......... ..........  9%  111M 5s
  9800K .......... .......... .......... .......... ..........  9% 36.6M 5s
  9850K .......... .......... .......... .......... ..........  9%  257M 5s
  9900K .......... .......... .......... .......... ..........  9%  108M 5s
  9950K .......... .......... .......... .......... ..........  9% 20.7M 5s
 10000K .......... .......... .......... .......... ..........  9%  215M 5s
 10050K .......... .......... .......... .......... ..........  9% 23.9M 5s
 10100K .......... .......... .......... .......... ..........  9%  229M 5s
 10150K .......... .......... .......... .......... ..........  9%  100M 5s
 10200K .......... .......... .......... .......... .......... 10% 19.6M 5s
 10250K .......... .......... .......... .......... .......... 10% 5.93M 5s
 10300K .......... .......... .......... .......... .......... 10%  461M 5s
 10350K .......... .......... .......... .......... .......... 10%  160M 5s
 10400K .......... .......... .......... .......... .......... 10%  112M 5s
 10450K .......... .......... .......... .......... .......... 10%  116M 5s
 10500K .......... .......... .......... .......... .......... 10%  106M 5s
 10550K .......... .......... .......... .......... .......... 10%  111M 5s
 10600K .......... .......... .......... .......... .......... 10% 90.4M 5s
 10650K .......... .......... .......... .......... .......... 10%  122M 5s
 10700K .......... .......... .......... .......... .......... 10%  118M 5s
 10750K .......... .......... .......... .......... .......... 10%  115M 5s
 10800K .......... .......... .......... .......... .......... 10%  114M 5s
 10850K .......... .......... .......... .......... .......... 10%  108M 5s
 10900K .......... .......... .......... .......... .......... 10%  104M 5s
 10950K .......... .......... .......... .......... .......... 10%  136M 5s
 11000K .......... .......... .......... .......... .......... 10%  100M 5s
 11050K .......... .......... .......... .......... .......... 10%  121M 5s
 11100K .......... .......... .......... .......... .......... 10% 98.7M 5s
 11150K .......... .......... .......... .......... .......... 10%  140M 5s
 11200K .......... .......... .......... .......... .......... 10%  103M 5s
 11250K .......... .......... .......... .......... .......... 11%  123M 5s
 11300K .......... .......... .......... .......... .......... 11% 92.9M 5s
 11350K .......... .......... .......... .......... .......... 11%  150M 5s
 11400K .......... .......... .......... .......... .......... 11%  106M 5s
 11450K .......... .......... .......... .......... .......... 11% 29.1M 5s
 11500K .......... .......... .......... .......... .......... 11%  130M 5s
 11550K .......... .......... .......... .......... .......... 11%  116M 5s
 11600K .......... .......... .......... .......... .......... 11% 96.4M 5s
 11650K .......... .......... .......... .......... .......... 11%  120M 5s
 11700K .......... .......... .......... .......... .......... 11% 55.7M 5s
 11750K .......... .......... .......... .......... .......... 11% 3.19M 5s
 11800K .......... .......... .......... .......... .......... 11%  175M 5s
 11850K .......... .......... .......... .......... .......... 11%  115M 5s
 11900K .......... .......... .......... .......... .......... 11% 31.3M 5s
 11950K .......... .......... .......... .......... .......... 11%  838M 5s
 12000K .......... .......... .......... .......... .......... 11%  867M 5s
 12050K .......... .......... .......... .......... .......... 11%  179M 5s
 12100K .......... .......... .......... .......... .......... 11%  177M 5s
 12150K .......... .......... .......... .......... .......... 11%  117M 4s
 12200K .......... .......... .......... .......... .......... 11%  106M 4s
 12250K .......... .......... .......... .......... .......... 12% 94.1M 4s
 12300K .......... .......... .......... .......... .......... 12% 60.3M 4s
 12350K .......... .......... .......... .......... .......... 12%  819M 4s
 12400K .......... .......... .......... .......... .......... 12%  120M 4s
 12450K .......... .......... .......... .......... .......... 12%  106M 4s
 12500K .......... .......... .......... .......... .......... 12%  124M 4s
 12550K .......... .......... .......... .......... .......... 12%  101M 4s
 12600K .......... .......... .......... .......... .......... 12%  133M 4s
 12650K .......... .......... .......... .......... .......... 12%  113M 4s
 12700K .......... .......... .......... .......... .......... 12%  109M 4s
 12750K .......... .......... .......... .......... .......... 12%  123M 4s
 12800K .......... .......... .......... .......... .......... 12%  108M 4s
 12850K .......... .......... .......... .......... .......... 12%  106M 4s
 12900K .......... .......... .......... .......... .......... 12%  111M 4s
 12950K .......... .......... .......... .......... .......... 12%  101M 4s
 13000K .......... .......... .......... .......... .......... 12% 23.0M 4s
 13050K .......... .......... .......... .......... .......... 12%  156M 4s
 13100K .......... .......... .......... .......... .......... 12%  100M 4s
 13150K .......... .......... .......... .......... .......... 12%  122M 4s
 13200K .......... .......... .......... .......... .......... 12% 3.85M 4s
 13250K .......... .......... .......... .......... .......... 12%  404M 4s
 13300K .......... .......... .......... .......... .......... 13%  409M 4s
 13350K .......... .......... .......... .......... .......... 13%  121M 4s
 13400K .......... .......... .......... .......... .......... 13%  128M 4s
 13450K .......... .......... .......... .......... .......... 13%  105M 4s
 13500K .......... .......... .......... .......... .......... 13% 94.8M 4s
 13550K .......... .......... .......... .......... .......... 13%  119M 4s
 13600K .......... .......... .......... .......... .......... 13%  124M 4s
 13650K .......... .......... .......... .......... .......... 13% 86.5M 4s
 13700K .......... .......... .......... .......... .......... 13%  155M 4s
 13750K .......... .......... .......... .......... .......... 13%  107M 4s
 13800K .......... .......... .......... .......... .......... 13%  118M 4s
 13850K .......... .......... .......... .......... .......... 13%  116M 4s
 13900K .......... .......... .......... .......... .......... 13% 92.9M 4s
 13950K .......... .......... .......... .......... .......... 13% 55.6M 4s
 14000K .......... .......... .......... .......... .......... 13%  113M 4s
 14050K .......... .......... .......... .......... .......... 13%  306M 4s
 14100K .......... .......... .......... .......... .......... 13%  213M 4s
 14150K .......... .......... .......... .......... .......... 13%  112M 4s
 14200K .......... .......... .......... .......... .......... 13% 99.0M 4s
 14250K .......... .......... .......... .......... .......... 13%  117M 4s
 14300K .......... .......... .......... .......... .......... 14%  114M 4s
 14350K .......... .......... .......... .......... .......... 14%  107M 4s
 14400K .......... .......... .......... .......... .......... 14%  130M 4s
 14450K .......... .......... .......... .......... .......... 14%  108M 4s
 14500K .......... .......... .......... .......... .......... 14%  120M 4s
 14550K .......... .......... .......... .......... .......... 14%  107M 4s
 14600K .......... .......... .......... .......... .......... 14% 2.67M 4s
 14650K .......... .......... .......... .......... .......... 14%  231M 4s
 14700K .......... .......... .......... .......... .......... 14%  215M 4s
 14750K .......... .......... .......... .......... .......... 14%  114M 4s
 14800K .......... .......... .......... .......... .......... 14%  114M 4s
 14850K .......... .......... .......... .......... .......... 14%  100M 4s
 14900K .......... .......... .......... .......... .......... 14%  125M 4s
 14950K .......... .......... .......... .......... .......... 14%  116M 4s
 15000K .......... .......... .......... .......... .......... 14%  111M 4s
 15050K .......... .......... .......... .......... .......... 14%  112M 4s
 15100K .......... .......... .......... .......... .......... 14% 95.3M 4s
 15150K .......... .......... .......... .......... .......... 14%  107M 4s
 15200K .......... .......... .......... .......... .......... 14%  136M 4s
 15250K .......... .......... .......... .......... .......... 14%  104M 4s
 15300K .......... .......... .......... .......... .......... 14%  128M 4s
 15350K .......... .......... .......... .......... .......... 15% 98.0M 4s
 15400K .......... .......... .......... .......... .......... 15%  108M 4s
 15450K .......... .......... .......... .......... .......... 15%  119M 4s
 15500K .......... .......... .......... .......... .......... 15%  116M 4s
 15550K .......... .......... .......... .......... .......... 15%  106M 4s
 15600K .......... .......... .......... .......... .......... 15%  114M 4s
 15650K .......... .......... .......... .......... .......... 15%  101M 4s
 15700K .......... .......... .......... .......... .......... 15% 87.4M 4s
 15750K .......... .......... .......... .......... .......... 15% 70.9M 4s
 15800K .......... .......... .......... .......... .......... 15%  442M 4s
 15850K .......... .......... .......... .......... .......... 15%  151M 4s
 15900K .......... .......... .......... .......... .......... 15% 97.4M 4s
 15950K .......... .......... .......... .......... .......... 15%  114M 4s
 16000K .......... .......... .......... .......... .......... 15%  123M 4s
 16050K .......... .......... .......... .......... .......... 15% 99.5M 4s
 16100K .......... .......... .......... .......... .......... 15%  127M 4s
 16150K .......... .......... .......... .......... .......... 15% 4.38M 4s
 16200K .......... .......... .......... .......... .......... 15% 20.7M 4s
 16250K .......... .......... .......... .......... .......... 15%  438M 4s
 16300K .......... .......... .......... .......... .......... 15%  176M 4s
 16350K .......... .......... .......... .......... .......... 16%  103M 4s
 16400K .......... .......... .......... .......... .......... 16%  137M 4s
 16450K .......... .......... .......... .......... .......... 16%  116M 4s
 16500K .......... .......... .......... .......... .......... 16%  106M 4s
 16550K .......... .......... .......... .......... .......... 16%  103M 4s
 16600K .......... .......... .......... .......... .......... 16%  127M 4s
 16650K .......... .......... .......... .......... .......... 16%  112M 4s
 16700K .......... .......... .......... .......... .......... 16%  110M 4s
 16750K .......... .......... .......... .......... .......... 16% 96.9M 4s
 16800K .......... .......... .......... .......... .......... 16%  140M 4s
 16850K .......... .......... .......... .......... .......... 16%  103M 3s
 16900K .......... .......... .......... .......... .......... 16%  111M 3s
 16950K .......... .......... .......... .......... .......... 16%  114M 3s
 17000K .......... .......... .......... .......... .......... 16%  106M 3s
 17050K .......... .......... .......... .......... .......... 16%  119M 3s
 17100K .......... .......... .......... .......... .......... 16%  104M 3s
 17150K .......... .......... .......... .......... .......... 16%  120M 3s
 17200K .......... .......... .......... .......... .......... 16%  104M 3s
 17250K .......... .......... .......... .......... .......... 16% 87.1M 3s
 17300K .......... .......... .......... .......... .......... 16%  146M 3s
 17350K .......... .......... .......... .......... .......... 16%  109M 3s
 17400K .......... .......... .......... .......... .......... 17%  106M 3s
 17450K .......... .......... .......... .......... .......... 17%  118M 3s
 17500K .......... .......... .......... .......... .......... 17%  132M 3s
 17550K .......... .......... .......... .......... .......... 17% 98.6M 3s
 17600K .......... .......... .......... .......... .......... 17%  127M 3s
 17650K .......... .......... .......... .......... .......... 17% 3.17M 3s
 17700K .......... .......... .......... .......... .......... 17% 17.2M 3s
 17750K .......... .......... .......... .......... .......... 17%  101M 3s
 17800K .......... .......... .......... .......... .......... 17%  114M 3s
 17850K .......... .......... .......... .......... .......... 17%  133M 3s
 17900K .......... .......... .......... .......... .......... 17% 94.9M 3s
 17950K .......... .......... .......... .......... .......... 17%  124M 3s
 18000K .......... .......... .......... .......... .......... 17% 96.3M 3s
 18050K .......... .......... .......... .......... .......... 17%  138M 3s
 18100K .......... .......... .......... .......... .......... 17%  115M 3s
 18150K .......... .......... .......... .......... .......... 17% 92.0M 3s
 18200K .......... .......... .......... .......... .......... 17%  138M 3s
 18250K .......... .......... .......... .......... .......... 17% 95.5M 3s
 18300K .......... .......... .......... .......... .......... 17%  117M 3s
 18350K .......... .......... .......... .......... .......... 17%  100M 3s
 18400K .......... .......... .......... .......... .......... 18%  136M 3s
 18450K .......... .......... .......... .......... .......... 18%  118M 3s
 18500K .......... .......... .......... .......... .......... 18%  119M 3s
 18550K .......... .......... .......... .......... .......... 18%  103M 3s
 18600K .......... .......... .......... .......... .......... 18%  123M 3s
 18650K .......... .......... .......... .......... .......... 18% 98.5M 3s
 18700K .......... .......... .......... .......... .......... 18%  118M 3s
 18750K .......... .......... .......... .......... .......... 18%  121M 3s
 18800K .......... .......... .......... .......... .......... 18% 93.8M 3s
 18850K .......... .......... .......... .......... .......... 18%  104M 3s
 18900K .......... .......... .......... .......... .......... 18%  152M 3s
 18950K .......... .......... .......... .......... .......... 18% 98.0M 3s
 19000K .......... .......... .......... .......... .......... 18%  120M 3s
 19050K .......... .......... .......... .......... .......... 18%  102M 3s
 19100K .......... .......... .......... .......... .......... 18%  124M 3s
 19150K .......... .......... .......... .......... .......... 18% 5.53M 3s
 19200K .......... .......... .......... .......... .......... 18% 9.90M 3s
 19250K .......... .......... .......... .......... .......... 18%  353M 3s
 19300K .......... .......... .......... .......... .......... 18%  610M 3s
 19350K .......... .......... .......... .......... .......... 18%  112M 3s
 19400K .......... .......... .......... .......... .......... 18%  114M 3s
 19450K .......... .......... .......... .......... .......... 19% 98.6M 3s
 19500K .......... .......... .......... .......... .......... 19%  113M 3s
 19550K .......... .......... .......... .......... .......... 19%  124M 3s
 19600K .......... .......... .......... .......... .......... 19% 97.8M 3s
 19650K .......... .......... .......... .......... .......... 19%  146M 3s
 19700K .......... .......... .......... .......... .......... 19%  104M 3s
 19750K .......... .......... .......... .......... .......... 19%  113M 3s
 19800K .......... .......... .......... .......... .......... 19%  108M 3s
 19850K .......... .......... .......... .......... .......... 19%  119M 3s
 19900K .......... .......... .......... .......... .......... 19% 88.0M 3s
 19950K .......... .......... .......... .......... .......... 19%  162M 3s
 20000K .......... .......... .......... .......... .......... 19% 98.3M 3s
 20050K .......... .......... .......... .......... .......... 19%  119M 3s
 20100K .......... .......... .......... .......... .......... 19%  103M 3s
 20150K .......... .......... .......... .......... .......... 19% 94.2M 3s
 20200K .......... .......... .......... .......... .......... 19%  155M 3s
 20250K .......... .......... .......... .......... .......... 19%  109M 3s
 20300K .......... .......... .......... .......... .......... 19%  107M 3s
 20350K .......... .......... .......... .......... .......... 19%  120M 3s
 20400K .......... .......... .......... .......... .......... 19%  105M 3s
 20450K .......... .......... .......... .......... .......... 20%  106M 3s
 20500K .......... .......... .......... .......... .......... 20%  122M 3s
 20550K .......... .......... .......... .......... .......... 20%  120M 3s
 20600K .......... .......... .......... .......... .......... 20%  100M 3s
 20650K .......... .......... .......... .......... .......... 20% 3.14M 3s
 20700K .......... .......... .......... .......... .......... 20% 16.5M 3s
 20750K .......... .......... .......... .......... .......... 20%  217M 3s
 20800K .......... .......... .......... .......... .......... 20%  122M 3s
 20850K .......... .......... .......... .......... .......... 20% 98.0M 3s
 20900K .......... .......... .......... .......... .......... 20%  143M 3s
 20950K .......... .......... .......... .......... .......... 20% 97.3M 3s
 21000K .......... .......... .......... .......... .......... 20%  116M 3s
 21050K .......... .......... .......... .......... .......... 20%  119M 3s
 21100K .......... .......... .......... .......... .......... 20%  108M 3s
 21150K .......... .......... .......... .......... .......... 20%  113M 3s
 21200K .......... .......... .......... .......... .......... 20% 98.0M 3s
 21250K .......... .......... .......... .......... .......... 20%  118M 3s
 21300K .......... .......... .......... .......... .......... 20%  133M 3s
 21350K .......... .......... .......... .......... .......... 20% 92.3M 3s
 21400K .......... .......... .......... .......... .......... 20%  139M 3s
 21450K .......... .......... .......... .......... .......... 20% 97.8M 3s
 21500K .......... .......... .......... .......... .......... 21%  110M 3s
 21550K .......... .......... .......... .......... .......... 21% 64.0M 3s
 21600K .......... .......... .......... .......... .......... 21%  186M 3s
 21650K .......... .......... .......... .......... .......... 21%  164M 3s
 21700K .......... .......... .......... .......... .......... 21%  133M 3s
 21750K .......... .......... .......... .......... .......... 21%  100M 3s
 21800K .......... .......... .......... .......... .......... 21%  120M 3s
 21850K .......... .......... .......... .......... .......... 21%  102M 3s
 21900K .......... .......... .......... .......... .......... 21%  134M 3s
 21950K .......... .......... .......... .......... .......... 21%  105M 3s
 22000K .......... .......... .......... .......... .......... 21%  116M 3s
 22050K .......... .......... .......... .......... .......... 21% 97.6M 3s
 22100K .......... .......... .......... .......... .......... 21% 7.61M 3s
 22150K .......... .......... .......... .......... .......... 21% 7.51M 3s
 22200K .......... .......... .......... .......... .......... 21% 98.3M 3s
 22250K .......... .......... .......... .......... .......... 21%  131M 3s
 22300K .......... .......... .......... .......... .......... 21%  113M 3s
 22350K .......... .......... .......... .......... .......... 21%  111M 3s
 22400K .......... .......... .......... .......... .......... 21%  101M 3s
 22450K .......... .......... .......... .......... .......... 21% 99.5M 3s
 22500K .......... .......... .......... .......... .......... 22%  138M 3s
 22550K .......... .......... .......... .......... .......... 22% 96.2M 3s
